BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Peel District School Board,Whitehorn PS,3,en,1,97%,97%,97%,84%,68%,63%,3%,3%,3%
Thames Valley District School Board,White Oaks PS,3,en,1,90%,88%,92%,36%,30%,36%,5%,5%,5%
Lakehead DSB,Whitefish Valley S,3,en,1,100%,100%,100%,69%,56%,69%,0%,0%,0%
Peel District School Board,McKinnon PS,3,en,1,93%,93%,93%,82%,78%,78%,4%,4%,4%
Peel District School Board,Whiteoaks PS,3,en,1,96%,96%,96%,79%,75%,79%,3%,3%,3%
Toronto DSB,White Haven Jr PS,3,en,1,98%,98%,98%,76%,76%,68%,0%,0%,0%
Near North DSB,Whitestone Lake Central S,3,en,1,100%,100%,92%,50%,33%,27%,0%,0%,8%
Renfrew County DSB,Whitney PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Whitney Jr PS,3,en,1,100%,100%,100%,93%,91%,91%,0%,0%,0%
Bluewater DSB,Peninsula Shores District School – Elementary,3,en,1,79%,79%,79%,61%,52%,57%,21%,21%,21%
Thames Valley District School Board,Wilfrid Jury E PS,3,en,1,93%,93%,93%,65%,61%,57%,5%,5%,5%
Waterloo Region DSB,WT Townshend PS,3,en,1,94%,96%,94%,74%,68%,59%,3%,3%,3%
Toronto DSB,Brian PS,3,en,1,100%,100%,100%,74%,65%,71%,0%,0%,0%
Toronto DSB,Wilkinson Jr PS,3,en,1,100%,100%,100%,98%,80%,91%,0%,0%,0%
York Region DSB,William Armstrong PS,3,en,1,100%,100%,100%,76%,76%,76%,0%,0%,0%
Toronto DSB,William Burgess PS,3,en,1,96%,96%,96%,60%,65%,52%,2%,2%,2%
Greater Essex County DSB,William G Davis PS,3,en,1,94%,94%,94%,61%,55%,39%,3%,3%,3%
Toronto DSB,William G Davis Jr PS,3,en,1,100%,100%,100%,91%,89%,89%,0%,0%,0%
Toronto DSB,William G Miller Jr PS,3,en,1,100%,100%,98%,50%,46%,59%,0%,0%,0%
Toronto DSB,Tredway Woodsworth Public School,3,en,1,92%,92%,95%,55%,55%,59%,0%,0%,0%
York Region DSB,Wilclay PS,3,en,1,90%,90%,90%,80%,70%,75%,7%,7%,7%
Toronto DSB,Briarcrest Jr S,3,en,1,96%,96%,96%,92%,75%,75%,4%,4%,4%
Ottawa-Carleton DSB,Roch Carrier ES,3,en,1,100%,100%,100%,79%,81%,68%,0%,0%,0%
Toronto DSB,Williamson Road Jr PS,3,en,1,97%,97%,99%,65%,62%,80%,0%,0%,0%
Upper Canada DSB,Williamstown PS,3,en,1,95%,98%,98%,95%,88%,88%,2%,2%,2%
Waterloo Region DSB,Groh Public School,3,en,1,93%,93%,95%,69%,58%,62%,5%,5%,5%
Toronto DSB,Willow Park Jr PS,3,en,1,98%,98%,98%,24%,10%,17%,0%,0%,0%
Upper Grand DSB,Willow Road PS,3,en,1,68%,68%,74%,46%,54%,50%,21%,21%,21%
Toronto DSB,Terraview-Willowfield PS,3,en,1,93%,93%,93%,68%,50%,61%,7%,7%,7%
Waterloo Region DSB,New Dundee PS,3,en,1,91%,91%,91%,95%,80%,85%,9%,9%,9%
York Region DSB,Willowbrook PS,3,en,1,96%,96%,96%,74%,78%,74%,4%,4%,4%
Durham DSB,William Dunbar PS,3,en,1,91%,96%,96%,88%,78%,80%,2%,2%,2%
Ottawa-Carleton DSB,Briargreen PS,3,en,1,91%,91%,91%,77%,80%,77%,9%,9%,9%
Peel District School Board,Briarwood PS,3,en,1,94%,94%,94%,75%,64%,52%,5%,5%,5%
Upper Grand DSB,Ecole Arbour Vista PS,3,en,1,100%,100%,100%,92%,92%,88%,0%,0%,0%
Simcoe County DSB,Willow Landing,3,en,1,100%,100%,100%,72%,54%,60%,0%,0%,0%
Waterloo Region DSB,Wilson Avenue PS,3,en,1,89%,89%,89%,60%,46%,53%,11%,11%,11%
Toronto DSB,Dublin Heights Elem & Middle S,3,en,1,96%,96%,96%,58%,58%,58%,4%,4%,4%
Thames Valley District School Board,Wilton Grove PS,3,en,1,80%,87%,89%,32%,22%,22%,7%,7%,7%
Thames Valley District School Board,Arthur Stringer PS,3,en,1,88%,88%,88%,55%,41%,41%,12%,12%,12%
Peel District School Board,Oscar Peterson Public School,3,en,1,96%,96%,96%,76%,68%,69%,0%,0%,0%
Upper Canada DSB,Winchester PS,3,en,1,94%,94%,94%,82%,76%,82%,3%,3%,3%
Toronto DSB,Winchester Jr & Sr PS,3,en,1,N/D,N/D,100%,N/D,N/D,71%,N/D,N/D,0%
York Region DSB,Wilshire E S,3,en,1,88%,88%,88%,53%,25%,47%,7%,7%,7%
Durham DSB,Winchester PS,3,en,1,94%,94%,94%,83%,70%,72%,2%,2%,2%
Upper Canada DSB,Vanier PS,3,en,1,96%,96%,96%,80%,80%,60%,4%,4%,4%
Hamilton-Wentworth DSB,Winona Elementary,3,en,1,96%,96%,96%,61%,51%,65%,4%,4%,4%
Limestone DSB,Winston Churchill PS,3,en,1,92%,92%,92%,96%,79%,83%,8%,8%,8%
Lambton Kent District School Board,Winston Churchill,3,en,1,92%,92%,92%,62%,54%,50%,8%,8%,8%
Waterloo Region DSB,Winston Churchill PS,3,en,1,91%,91%,91%,81%,81%,65%,9%,9%,9%
Toronto DSB,Withrow Avenue Jr PS,3,en,1,97%,97%,99%,85%,88%,89%,3%,3%,1%
Toronto DSB,Woburn Jr PS,3,en,1,94%,94%,94%,73%,69%,51%,6%,6%,6%
York Region DSB,Black Walnut PS,3,en,1,99%,99%,99%,76%,74%,73%,0%,0%,0%
Waterloo Region DSB,Bridgeport PS,3,en,1,100%,100%,100%,51%,42%,53%,0%,0%,0%
York Region DSB,Woodbridge PS,3,en,1,95%,95%,95%,87%,83%,79%,5%,5%,5%
Durham DSB,Woodcrest PS,3,en,1,91%,91%,96%,62%,36%,32%,7%,7%,2%
Peel District School Board,Willow Way E PS,3,en,1,93%,93%,93%,75%,64%,57%,3%,3%,3%
Lambton Kent District School Board,Bridgeview PS,3,en,1,87%,87%,87%,54%,54%,31%,0%,0%,0%
Simcoe County DSB,Harvest Hills Public School,3,en,1,95%,95%,97%,69%,74%,56%,5%,5%,3%
Waterloo Region DSB,Woodland Park PS,3,en,1,100%,100%,100%,70%,70%,78%,0%,0%,0%
DSB of Niagara,Woodland PS,3,en,1,100%,100%,100%,93%,71%,57%,0%,0%,0%
Thames Valley District School Board,Woodland Heights,3,en,1,87%,87%,87%,50%,43%,43%,9%,8%,8%
York Region DSB,E J Sand PS,3,en,1,79%,79%,83%,70%,78%,71%,17%,17%,14%
Ottawa-Carleton DSB,Woodroffe Avenue E PS,3,en,1,98%,98%,98%,86%,80%,77%,2%,2%,2%
Toronto DSB,Bridlewood Jr PS,3,en,1,88%,88%,88%,93%,89%,82%,12%,12%,12%
Conseil scolaire Viamonde,École élémentaire Patricia-Picknell,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Ottawa-Carleton DSB,W. O. Mitchell ES,3,en,1,90%,90%,90%,74%,74%,72%,10%,10%,10%
Durham DSB,Chris Hadfield P.S.,3,en,1,100%,100%,100%,84%,83%,89%,0%,0%,0%
Lambton Kent District School Board,Kinnwood Central,3,en,1,100%,100%,100%,81%,52%,71%,0%,0%,0%
Peel District School Board,Worthington PS,3,en,1,97%,97%,97%,70%,68%,59%,3%,3%,3%
Grand Erie DSB,Brier Park PS,3,en,1,93%,93%,93%,68%,64%,64%,7%,7%,7%
Trillium Lakelands DSB,Woodville E S,3,en,1,100%,100%,100%,96%,96%,96%,0%,0%,0%
Waterloo Region DSB,Conestogo PS,3,en,1,100%,100%,100%,93%,86%,86%,0%,0%,0%
Ottawa-Carleton DSB,Half Moon Bay Public School,3,en,1,94%,93%,94%,71%,66%,62%,0%,0%,0%
Lambton Kent District School Board,Brigden,3,en,1,100%,100%,100%,65%,52%,52%,0%,0%,0%
Waterloo Region DSB,St Jacobs PS,3,en,1,84%,84%,84%,88%,69%,75%,5%,5%,5%
Thames Valley District School Board,Wortley Road PS,3,en,1,100%,100%,100%,77%,56%,72%,0%,0%,0%
Simcoe County DSB,Wyevale Central,3,en,1,100%,100%,100%,69%,54%,54%,0%,0%,0%
Durham DSB,Sir William Stephenson PS,3,en,1,84%,84%,84%,64%,57%,47%,12%,12%,12%
Lambton Kent District School Board,Plympton-Wyoming Public School,3,en,1,96%,96%,96%,81%,65%,77%,4%,4%,4%
Thames Valley District School Board,New Sarum PS,3,en,1,95%,95%,95%,56%,44%,56%,5%,5%,5%
Kawartha Pine Ridge DSB,Smithfield PS,3,en,1,100%,100%,100%,87%,77%,73%,0%,0%,0%
York Region DSB,Yorkhill E S,3,en,1,100%,100%,100%,86%,76%,85%,0%,0%,0%
Ottawa-Carleton DSB,York Street PS,3,en,1,94%,94%,94%,29%,35%,29%,0%,0%,0%
Ottawa-Carleton DSB,Westwind PS,3,en,1,100%,100%,100%,88%,68%,71%,0%,0%,0%
Toronto DSB,Yorkview PS,3,en,1,90%,93%,90%,56%,46%,53%,7%,7%,3%
Hamilton-Wentworth DSB,Yorkview S,3,en,1,100%,100%,100%,96%,87%,87%,0%,0%,0%
Toronto DSB,Yorkwoods PS,3,en,1,92%,97%,97%,26%,22%,0%,3%,3%,3%
Lambton Kent District School Board,Zone Township Central,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Peel District School Board,Springbrook Public School,3,en,1,91%,91%,91%,83%,73%,76%,5%,5%,5%
Ottawa-Carleton DSB,Ottawa-Carleton Virtual Elementary School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Thames Valley District School Board,Zorra Highland Park PS,3,en,1,93%,94%,94%,56%,53%,35%,4%,4%,4%
Conseil scolaire Viamonde,École élémentaire des Quatre-Rivières,3,fr,1,100%,100%,100%,88%,71%,82%,0%,0%,0%
Kawartha Pine Ridge DSB,Brighton PS,3,en,1,98%,98%,98%,75%,65%,59%,2%,2%,2%
Waterloo Region DSB,Chicopee Hills Public School,3,en,1,96%,96%,96%,79%,70%,76%,1%,1%,1%
York Region DSB,Windham Ridge PS,3,en,1,N/D,N/D,99%,N/D,N/D,84%,N/D,N/D,1%
Lambton Kent District School Board,Bright's Grove PS,3,en,1,97%,97%,97%,78%,64%,61%,3%,3%,3%
Toronto DSB,Brimwood Boulevard Jr PS,3,en,1,100%,100%,98%,53%,44%,45%,0%,0%,0%
Peel District School Board,Britannia PS,3,en,1,89%,89%,91%,80%,74%,76%,11%,11%,9%
Near North DSB,Britt PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Simcoe County DSB,Severn Shores Public School,3,en,1,100%,100%,100%,77%,67%,62%,0%,0%,0%
Toronto DSB,Broadacres Jr S,3,en,1,88%,88%,90%,52%,48%,66%,8%,8%,5%
Durham DSB,Blair Ridge P. S.,3,en,1,97%,97%,97%,79%,66%,93%,3%,3%,3%
Toronto DSB,Broadlands PS,3,en,1,N/D,N/D,100%,N/D,N/D,68%,N/D,N/D,0%
Ottawa-Carleton DSB,Broadview Avenue PS,3,en,1,97%,97%,97%,87%,83%,86%,3%,3%,3%
Durham DSB,Elsie MacGill P.S.,3,en,1,91%,93%,93%,69%,56%,60%,7%,7%,7%
York Region DSB,York Academy 0158,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
York Region DSB,York Academy 2614,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Renfrew County Catholic DSB,Valleycrest S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Conseil scolaire Viamonde,La passerelle élémentaire,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Toronto DSB,Brock Jr PS,3,en,1,100%,100%,100%,86%,69%,72%,0%,0%,0%
York Region DSB,York Academy 4358,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Conseil des écoles publiques de l'Est de l'Ontario,Centre de jour du CPS,3,fr,1,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D
Conseil scolaire Viamonde,É L'Équilibre,3,fr,1,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D
Catholic DSB of Eastern Ontario,Education and Community Partnership Program (Cornwall),3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Conseil scolaire du Grand Nord,École publique Foyer-Jeunesse,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Le C.S.D.C. de l'Est ontarien,École Article 23 Casselman,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Waterloo Catholic DSB,Lutherwood,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Conseil scolaire du Grand Nord,École publique Jean-Ethier-Blais,3,fr,1,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D
Catholic DSB of Eastern Ontario,Education and Community Partnership Program (Hammond),3,en,1,N/R,N/R,N/D,N/R,N/R,N/D,N/R,N/R,N/D
Catholic DSB of Eastern Ontario,Education and Community Partnership Program (Brockville),3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
York Region DSB,Viola Desmond Public School,3,en,1,94%,94%,94%,84%,65%,71%,6%,6%,6%
Toronto DSB,Albion Heights Junior Middle School,3,en,1,92%,95%,92%,58%,68%,47%,5%,5%,5%
Halton DSB,Brookdale PS,3,en,1,94%,94%,94%,80%,67%,73%,6%,6%,6%
York Region DSB,Armadale PS,3,en,1,97%,97%,99%,68%,46%,52%,0%,0%,0%
Lambton Kent District School Board,Brooke Central PS,3,en,1,100%,100%,100%,67%,42%,67%,0%,0%,0%
Toronto DSB,Brookhaven PS,3,en,1,83%,100%,100%,40%,28%,25%,0%,0%,0%
Peel District School Board,Brookmede PS,3,en,1,100%,100%,100%,66%,57%,55%,0%,0%,0%
Toronto DSB,Brookmill Boulevard Jr PS,3,en,1,96%,96%,96%,74%,78%,81%,4%,4%,4%
Avon Maitland DSB,Brookside PS,3,en,1,97%,97%,97%,43%,27%,35%,0%,0%,0%
Halton DSB,Brookville PS,3,en,1,91%,91%,91%,91%,88%,78%,6%,6%,6%
Waterloo Region DSB,Abraham Erb PS,3,en,1,98%,98%,98%,81%,83%,79%,2%,2%,2%
Ottawa-Carleton DSB,Clifford Bowey TR School,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Ottawa-Carleton DSB,Crystal BayCentre for Special Education,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Toronto DSB,Brown PS,3,en,1,100%,100%,100%,89%,79%,72%,0%,0%,0%
Rainbow District School Board,Jean Hanson Public School,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Le C.S. public du Nord-Est de l'Ontario,École publique Héritage,3,fr,1,97%,97%,97%,50%,27%,57%,0%,0%,0%
Toronto DSB,Bruce Public School,3,en,1,97%,97%,97%,61%,55%,61%,3%,3%,3%
Bluewater DSB,Bruce Peninsula District School - Elementary,3,en,1,96%,96%,96%,91%,70%,83%,4%,4%,4%
Peel District School Board,Tribune Drive Public School,3,en,1,95%,94%,95%,76%,64%,59%,3%,3%,3%
Halton Catholic DSB,Pope John Paul II,3,en,1,100%,100%,100%,84%,74%,89%,0%,0%,0%
Dufferin-Peel Catholic DSB,St. John The Baptist,3,en,1,100%,100%,100%,75%,80%,70%,0%,0%,0%
Halton Catholic DSB,St. Benedict Elementary School,3,en,1,96%,96%,96%,88%,82%,76%,4%,4%,4%
Halton Catholic DSB,St. Mary Elementary School,3,en,1,96%,96%,96%,91%,88%,80%,4%,4%,4%
Dufferin-Peel Catholic DSB,St. Jacinta Marto Catholic Elementary School,3,en,1,94%,94%,94%,88%,94%,76%,6%,6%,6%
Dufferin-Peel Catholic DSB,St. Giovanni Scalabrini Catholic Elementary School,3,en,1,91%,91%,91%,100%,90%,81%,4%,4%,4%
Dufferin-Peel Catholic DSB,St. Aidan Catholic ES,3,en,1,98%,98%,98%,72%,72%,72%,0%,0%,0%
Halton Catholic DSB,St Anthony of Padua,3,en,1,99%,99%,99%,85%,79%,73%,1%,1%,1%
Dufferin-Peel Catholic DSB,St. Bonaventure Catholic ES,3,en,1,93%,93%,93%,86%,79%,79%,0%,0%,0%
Trillium Lakelands DSB,Riverside PS,3,en,1,98%,100%,100%,82%,67%,77%,0%,0%,0%
Simcoe Muskoka Catholic DSB,St. Angela Merici Catholic School,3,en,1,99%,99%,99%,71%,71%,63%,1%,1%,1%
Le C.S.C.D. des Grandes Rivières,É.C. Don-Bosco,3,fr,1,100%,100%,100%,67%,56%,65%,0%,0%,0%
Dufferin-Peel Catholic DSB,All Saints Catholic S,3,en,1,96%,96%,98%,77%,69%,65%,0%,0%,0%
Niagara Catholic DSB,Alexander Kuska KSG Catholic Elementary School,3,en,1,96%,96%,98%,96%,100%,84%,4%,4%,2%
St. Clair Catholic District School Board,St. Teresa of Calcutta Catholic School,3,en,1,98%,98%,98%,77%,52%,71%,2%,2%,2%
Toronto Catholic District School Board,All Saints Sep S,3,en,1,100%,100%,100%,70%,63%,52%,0%,0%,0%
York Catholic DSB,All Saints,3,en,1,100%,100%,100%,91%,82%,82%,0%,0%,0%
Le C.S.C.D. des Grandes Rivières,É.C. André-Cary,3,fr,1,100%,100%,100%,81%,69%,81%,0%,0%,0%
Toronto Catholic District School Board,Annunciation Sep S,3,en,1,100%,100%,100%,77%,74%,68%,0%,0%,0%
Conseil scolaire catholique Nouvelon,É Sép Saint-Charles-Borromée,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
York Region DSB,Alexander Muir PS,3,en,1,100%,100%,100%,80%,71%,64%,0%,0%,0%
Toronto DSB,Buchanan PS,3,en,1,88%,88%,88%,64%,41%,32%,8%,8%,8%
Halton Catholic DSB,Ascension Catholic S,3,en,1,96%,96%,96%,100%,89%,85%,4%,4%,4%
Halton Catholic DSB,Lumen Christi Catholic ES,3,en,1,97%,97%,97%,80%,74%,74%,3%,3%,3%
Le C.S.C.D. des Grandes Rivières,É.C. Assomption,3,fr,1,100%,100%,100%,29%,50%,43%,0%,0%,0%
Le C.S.C.D. des Grandes Rivières,É.C. Assomption,3,fr,1,100%,100%,100%,57%,62%,76%,0%,0%,0%
London District Catholic School Board,Assumption Sep S,3,en,1,93%,93%,93%,86%,93%,79%,7%,7%,7%
Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique des Deux-Rivières,3,fr,1,100%,100%,100%,27%,45%,45%,0%,0%,0%
Dufferin-Peel Catholic DSB,St. Lucy Cath Elem S,3,en,1,86%,86%,86%,80%,52%,52%,14%,14%,14%
Ottawa Catholic District School Board,Assumption S,3,en,1,74%,74%,71%,78%,74%,36%,23%,23%,26%
Niagara Catholic DSB,Assumption Catholic Elementary School,3,en,1,65%,71%,71%,100%,100%,58%,29%,29%,29%
Hamilton-Wentworth DSB,Buchanan Park PS,3,en,1,97%,97%,93%,71%,75%,59%,3%,3%,3%
Ottawa Catholic District School Board,St Elizabeth Ann Seton Sep S,3,en,1,89%,89%,89%,97%,90%,83%,11%,11%,11%
York Catholic DSB,Guardian Angels CES,3,en,1,100%,100%,100%,81%,81%,70%,0%,0%,0%
Conseil des écoles catholiques du Centre-Est (CECCE),É Élém C Pierre-Elliott-Trudeau,3,fr,1,93%,93%,96%,86%,64%,70%,7%,7%,4%
Niagara Catholic DSB,St. Teresa of Calcutta Catholic Elementary School,3,en,1,100%,100%,100%,83%,83%,69%,0%,0%,0%
Ottawa Catholic District School Board,St Patrick English Catholic Se,3,en,1,84%,84%,84%,82%,78%,73%,14%,14%,14%
Ottawa Catholic District School Board,St. Rose of Lima Catholic School,3,en,1,83%,83%,83%,62%,50%,42%,17%,17%,17%
Ottawa Catholic District School Board,St. Brother Andre Catholic School,3,en,1,97%,97%,97%,76%,71%,65%,3%,3%,3%
Northeastern Catholic DSB,Bishop Belleau S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Dufferin-Peel Catholic DSB,Bishop Francis Allen S,3,en,1,91%,94%,94%,59%,55%,52%,6%,3%,3%
Catholic DSB of Eastern Ontario,Bishop Macdonell Sep S,3,en,1,98%,98%,98%,47%,25%,18%,2%,2%,2%
Le Conseil scolaire catholique MonAvenir,ÉÉC Jean-Paul II,3,fr,1,100%,100%,96%,84%,64%,54%,0%,0%,0%
York Catholic DSB,St. Giovanni Battista Scalabrini Catholic Elementary School,3,en,1,100%,100%,100%,94%,81%,88%,0%,0%,0%
Toronto Catholic District School Board,St. Kateri Tekakwitha,3,en,1,94%,100%,100%,60%,75%,56%,0%,0%,0%
Ottawa Catholic District School Board,Good Shepherd Sep S,3,en,1,81%,81%,81%,76%,50%,45%,15%,15%,15%
Toronto Catholic District School Board,St Marguerite Bourgeoys Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Le Conseil scolaire catholique MonAvenir,ÉÉC Monseigneur-de-Laval,3,fr,1,100%,98%,100%,82%,78%,75%,0%,0%,0%
Brant Haldimand Norfolk Catholic DSB,Blessed Sacrament Sep S,3,en,1,100%,100%,100%,86%,62%,66%,0%,0%,0%
Waterloo Catholic DSB,St. Kateri Tekakwitha,3,en,1,98%,98%,98%,69%,69%,65%,2%,2%,2%
Dufferin-Peel Catholic DSB,Saint Edith Stein E S,3,en,1,100%,100%,100%,74%,74%,80%,0%,0%,0%
London District Catholic School Board,St. Kateri Catholic Elementary School,3,en,1,93%,93%,91%,88%,83%,88%,4%,4%,7%
Hamilton-Wentworth Catholic DSB,Blessed Sacrament Sep S,3,en,1,96%,96%,96%,70%,63%,63%,4%,4%,4%
London District Catholic School Board,Blessed Sacrament Sep S,3,en,1,92%,92%,92%,71%,74%,65%,8%,5%,5%
Toronto Catholic District School Board,Blessed Sacrament Sep S,3,en,1,95%,95%,95%,85%,82%,85%,5%,5%,5%
Toronto Catholic District School Board,Blessed Trinity Sep S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Dufferin-Peel Catholic DSB,St John Bosco S,3,en,1,90%,90%,90%,63%,53%,63%,10%,10%,10%
Le Conseil scolaire catholique MonAvenir,ÉÉC Sainte-Jeanne-d'Arc,3,fr,1,92%,92%,92%,96%,83%,83%,8%,8%,8%
St. Clair Catholic District School Board,St. Angela Merici Catholic School,3,en,1,98%,98%,98%,66%,69%,59%,2%,2%,2%
Waterloo Catholic DSB,Blessed Sacrament,3,en,1,100%,100%,100%,82%,71%,75%,0%,0%,0%
Windsor-Essex Catholic DSB,Our Lady of the Annunciation S,3,en,1,100%,100%,100%,67%,33%,39%,0%,0%,0%
Ottawa Catholic District School Board,Dr F J McDonald Catholic S,3,en,1,83%,83%,83%,60%,40%,33%,11%,11%,11%
Catholic DSB of Eastern Ontario,J L Jordan Sep S,3,en,1,100%,100%,100%,74%,79%,58%,0%,0%,0%
Ottawa Catholic District School Board,St James Catholic S,3,en,1,96%,96%,96%,98%,89%,91%,4%,4%,4%
Ottawa Catholic District School Board,St Anne E S,3,en,1,94%,94%,94%,91%,92%,91%,6%,6%,6%
Durham Catholic DSB,St. Bridget Catholic School,3,en,1,100%,100%,100%,88%,75%,66%,0%,0%,0%
Simcoe Muskoka Catholic DSB,Canadian Martyrs Catholic,3,en,1,100%,100%,100%,55%,23%,23%,0%,0%,0%
Hamilton-Wentworth Catholic DSB,Canadian Martyrs Sep S,3,en,1,84%,84%,84%,69%,62%,50%,16%,16%,16%
Waterloo Catholic DSB,Canadian Martyrs Sep S,3,en,1,93%,93%,95%,75%,74%,69%,7%,7%,5%
Dufferin-Peel Catholic DSB,Canadian Martyrs Catholic  S,3,en,1,94%,94%,94%,86%,72%,62%,3%,3%,3%
York Catholic DSB,Canadian Martyrs Sep S,3,en,1,100%,100%,100%,79%,69%,63%,0%,0%,0%
Niagara Catholic DSB,Canadian Martyrs Catholic Elementary School,3,en,1,91%,91%,91%,86%,74%,77%,9%,9%,9%
Halton Catholic DSB,Canadian Martyrs Sep S,3,en,1,100%,100%,100%,98%,88%,78%,0%,0%,0%
Toronto Catholic District School Board,Canadian Martyrs Sep S,3,en,1,96%,96%,96%,77%,62%,77%,0%,0%,0%
Le Conseil scolaire catholique MonAvenir,ÉÉC Cardinal-Léger,3,fr,1,100%,100%,100%,78%,63%,70%,0%,0%,0%
Niagara Catholic DSB,St. John Henry Newman Catholic Elementary School,3,en,1,95%,95%,95%,89%,78%,73%,5%,5%,5%
